TÍTULO,TIPO_DE_SERVIÇO,GRUPO_DE_ATIVIDADE,LINHA_DE_AÇÃO,AVALIAÇÃO_DE_POLÍTICA_PÚBLICA,PUBLICADO_EM,LOCALIDADES
Relatório 201900989 - Aplicação de recursos federais no fomento ao ensino em tempo integral no estado de SE,Avaliação,Outros,Auditoria Interna Governamental,Sim,26/06/2024,Aracaju/SE
"Relatório 1594386 - Aquisição de caminhões, tratores e outras máquinas pelo Ministério da Agricultura e Pecuária (MAPA)",Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Sim,21/06/2024,Brasília/DF
"Relatório 1557120 - Licitações realizadas pela Senasp para construção de unidades da Casa da Mulher Brasileira em cidades dos estados de AL, ES, MS, MT, PA, PB, PE, PR, RJ, RN, RO, RS e SC",Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,18/06/2024,"Porto Velho/RO, Belém/PA, Natal/RN, João Pessoa/PB, Recife/PE, Maceió/AL, Serra/ES, Rio de Janeiro/RJ, Maringá/PR, Florianópolis/SC, Porto Alegre/RS, Dourados/MS, Cuiabá/MT"
Relatório 1354457 - Obra de reforma no Hospital Federal do Andaraí (RJ),Apuração,,Auditoria Interna Governamental,Não,17/06/2024,Rio de Janeiro/RJ
Relatório 1110378 - Aquisição de insumos pelo Hospital Federal da Lagoa (RJ) no exercício de 2022,Avaliação,Outros,Auditoria Interna Governamental,Não	17/06/2024,Rio de Janeiro/RJ,
Relatório 1373589 - Governança e gestão de aquisições do Hospital Universitário Clementino Fraga Filho (RJ),Avaliação,Outros,Auditoria Interna Governamental,Não,17/06/2024,Rio de Janeiro
Relatório 1110439 - Contratação de serviços técnicos pelo Instituto Nacional de Traumatologia e Ortopedia (INTO),Avaliação,Outros,Auditoria Interna Governamental,Não,17/06/2024,Rio de Janeiro/RJ
Relatório 1545070 - Aquisição de medicamentos no Hospital Federal do Andaraí (RJ): procedimentos para levantamento de necessidades,Apuração,Outros,Auditoria Interna Governamental,Não,17/06/2024,Rio de Janeiro/RJ
Relatório 1198288 - Aquisição de insumos pelo Hospital Federal dos Servidores do Estado do Rio de Janeiro (HFSE) no exercício de 2022,Avaliação,Outros,Auditoria Interna Governamental,Não,17/06/2024,Rio de Janeiro/RJ
Relatório 1609472 - Aquisição de medicamentos oncológicos para o Instituto Nacional do Câncer (INCA) e hospitais federais no RJ,Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,17/06/2024,Rio de Janeiro/RJ
Relatório 826158 - Contratação de serviços jurídicos e pagamento de honorários advocatícios no BB,Avaliação,Outros,Auditoria Interna Governamental,Não,14/06/2024,Rio de Janeiro/RJ
Relatório 829489 - Contratação de serviços jurídicos e pagamento de honorários advocatícios no BNB,Avaliação,Outros,Auditoria Interna Governamental,Não,14/06/2024,Rio de Janeiro/RJ
Relatório 201900618 - Auditoria Anual de Contas (AAC 2018/2019) na Comissão Nacional de Energia Nuclear (CNEN),Avaliação,Outros,Auditoria Interna Governamental,Não,13/06/2024,Rio de Janeiro
Relatório 1354742 - Contrato de gestão entre MCTI e CGEE: projeto voltado ao planejamento de regiões metropolitanas,Apuração,,Auditoria Interna Governamental,Não,13/06/2024,Brasília/DF
Relatório 1358139 - Elaboração de projetos para conclusão da Ferrovia de Integração Oeste Leste (Fiol),Avaliação,Outros,Auditoria Interna Governamental,Não,13/06/2024,Santa Maria da Vitória/BA
Relatório 825693 - Pavimentação de vias públicas no município de Massapê (PI),Apuração,Outros,Auditoria Interna Governamental,Não,13/06/2024,Massapê do Piauí/PI
Relatório 1500241 - Edital do DNIT/AL para contratação de manutenção na rodovia BR-101,Avaliação,Análise de Alertas de Licitações,Auditoria Interna Governamental,Não,13/06/2024,Maceió/AL
