ID,Nome,Serviço,Grupo,Ação,Avaliação,Data,Ano,Governo,UF,Matriz de Achados?,a. Questões de Auditoria,b. Subquestões de Auditoria,c. Descrição sumária,d. Critério (O que deveria ser),e. Condição ou situação encontrada (O que é) [achados],f. Evidências,g. Informação extraída das evidências,h. Causas,i. Efeitos,j. Boas Práticas,k. Recomendações,l. Benefícios esperados,m. Manifestação,n. Conclusões,Filtro
4552,Relatório de Auditoria nº 1089048 - Prefeitura Municipal de Tejuçuoca/CE - Convênios e Termos Compromisso Diversos,2,3,1,0,2023-10-02,2023,3,6,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
5007,Relatório de Apuração Obras de Engenharia nº 1178610 - PM São Miguel do Guamá,2,3,1,0,2022-12-09,2022,2,14,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1
4574,Relatorio de Apuracao nº1165805- Hospital Municipal de São Gonçalo do Amarante/RN.,2,3,1,0,2023-09-21,2023,3,20,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1
5613,Relatório de Apuração nº 988145 - Itaituba/PA - Educação e Assistência Social,2,3,1,0,2021-11-16,2021,2,14,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1
5618,Relatório de Apuração nº 988141 - Itaituba/PA - Saúde,2,3,1,0,2021-11-16,2021,2,14,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
4338,Relatório de Apuração nº 1504715 – Prefeitura Municipal de Dom Eliseu/PA - Recursos PNAE,2,3,1,0,2024-04-04,2024,3,14,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1
4342,Relatório de Apuração nº 1502209 – Prefeitura Municipal de Dom Eliseu/PA - Recursos repassados Ministério da Saúde,2,3,1,0,2024-04-04,2024,3,14,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1
4269,Relatório de Apuração nº 1496554 - Manutenção de habilitação de leitos de UTI pela Secretaria de Estado da Saúde do Tocantins (SESAU/TO),2,3,1,0,2024-04-16,2024,3,27,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1
4225,Relatório de Apuração nº 1475463 - Processo seletivo professores Medicina Veterinária - Universidade Federal Fluminense (UFF),2,3,1,0,2024-05-02,2024,3,19,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1
4458,Relatório de Apuração nº 1413511 - Acordos de Cooperação Técnica (ACT) e Processo de doações - SPU/PA,2,3,1,0,2023-12-22,2023,3,14,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1
4472,Relatório de Apuração nº 1380884 – Prefeitura Municipal de Tucurui – Contratações com recursos do Ministério da Saúde.,2,3,1,1,2023-12-14,2023,3,14,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1
4443,"Relatório de Apuração nº 1369548 - Termos de Fomento do Ministério da Mulher, da Família e dos Direitos Humanos (MMFDH) - Instituto Boa Vista - Recife/PE",2,3,1,0,2023-12-26,2023,3,16,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1
4377,Relatório de Apuração nº 1366688 - Superintendência Regional de Administração do MGI no Estado de Sergipe – SRA/SE,2,3,1,0,2024-03-01,2024,3,25,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1
4444,Relatório de Apuração nº 1365479 - Aplicação de recursos federais do Programa Nacional de Alimentação Escolar - PNAE - Aurora/SC,2,3,1,1,2023-12-26,2023,3,24,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
4351,Relatório de Apuração nº 1319428 - Contrato de prestação de serviços necessários à operação provisória de túneis na BR-381 - Superintendência Regional do DNIT/MG,2,3,1,0,2024-04-03,2024,3,11,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
4266,Relatório de Apuração nº 1196757 - Contratação e Execução de Obras - Prefeitura Municipal de Três Corações/MG,2,3,1,0,2024-04-17,2024,3,11,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
4416,Relatório de Apuração nº 1189204 - Hospital Napoleão Laureano – João Pessoa/PB.,2,3,1,0,2024-02-02,2024,3,15,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
4573,Relatório de Apuração nº 1142329 - Município de Coronel João Sá/BA - FNDE-FUNDEB,2,3,1,0,2023-09-22,2023,3,5,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1
5008,Relatório de Apuração nº 1140988 - Cessão de áreas e ou instalações à empresa Terminal de Regaseificação de GNL de São Paulo S.A. (TRSP) no Porto de Santos,2,3,1,0,2022-12-08,2022,2,26,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1
4379,Relatório de Apuração nº 1130272 - Ministério da Saúde - Município de Curaçá/BA - Aplicação de recursos do SUS,2,3,1,0,2024-02-26,2024,3,5,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1
4341,Relatório de Apuração nº 1130270 - Transporte Escolar - Município de Curaçá/BA,2,3,1,1,2024-04-04,2024,3,5,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1
4438,Relatório de Apuração nº 1092265 - Contratação de empresas para fornecimento de livros didáticos mediante pagamento com recursos do Fundef (precatório) - Itapajé/CE,2,3,1,0,2023-12-28,2023,3,6,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1
4343,Relatório de Apuração nº 1087781 - Centro de Distribuição de medicamentos e materiais hospitalares da Secretaria da Saúde do Estado do Ceará - Sesa-CE,2,3,1,0,2024-04-04,2024,3,6,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1
5010,Relatório de Apuração nº 1080696 - Contratos firmados entre a Prefeitura Municipal de Araçoiaba da Serra/SP e a Serclin - Serviços de Clínica Médica Ltda.,2,3,1,0,2022-12-08,2022,2,26,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1
4953,Relatório de Apuração nº 1064474 - Centrais de Abastecimento de Minas Gerais S/A- CeasaMinas - Contagem/MG,2,3,1,0,2022-12-29,2022,2,11,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
4632,Relatório de Apuração nº 1048240 - Fundação Universidade Federal de Sergipe (Ufs) e Fundação de Apoio à Pesquisa e Extensão de Sergipe (Fapese),2,3,1,0,2023-08-29,2023,3,25,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1
